batter,batting_team,bowling_team,venue,season,over_category,total_runs,balls_faced_x,runs_scored,balls_faced_y,strike_rate,venue_avg_runs
JP Faulkner,Gujarat Lions,Mumbai Indians,Saurashtra Cricket Association Stadium,2017,Middle,7,20,124,139,89.20863309352518,20.0
JP Faulkner,Gujarat Lions,Mumbai Indians,Wankhede Stadium,2016,Death,7,8,389,247,157.48987854251013,14.0
JP Faulkner,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,2017,Death,4,5,389,247,157.48987854251013,16.25
JP Faulkner,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,2017,Middle,2,2,124,139,89.20863309352518,16.25
JP Faulkner,Gujarat Lions,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,2016,Death,9,6,389,247,157.48987854251013,16.25
JP Faulkner,Gujarat Lions,Sunrisers Hyderabad,Green Park,2017,Death,5,3,389,247,157.48987854251013,11.0
JP Faulkner,Gujarat Lions,Sunrisers Hyderabad,Green Park,2017,Middle,3,7,124,139,89.20863309352518,11.0
JP Faulkner,Kings XI Punjab,Pune Warriors,Subrata Roy Sahara Stadium,2012,Death,3,5,389,247,157.48987854251013,11.0
JP Faulkner,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2012,Death,11,9,389,247,157.48987854251013,4.0
JP Faulkner,Rajasthan Royals,Chennai Super Kings,Dubai International Cricket Stadium,2014,Middle,4,2,124,139,89.20863309352518,4.0
JP Faulkner,Rajasthan Royals,Chennai Super Kings,JSCA International Stadium Complex,2014,Death,1,4,389,247,157.48987854251013,1.0
JP Faulkner,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2015,Death,9,8,389,247,157.48987854251013,16.0
JP Faulkner,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2015,Middle,7,5,124,139,89.20863309352518,16.0
JP Faulkner,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,2013,Powerplay,1,2,14,20,70.0,4.0
JP Faulkner,Rajasthan Royals,Delhi Daredevils,Brabourne Stadium,2015,Death,8,4,389,247,157.48987854251013,14.666666666666666
JP Faulkner,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2015,Death,13,8,389,247,157.48987854251013,12.75
JP Faulkner,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2015,Middle,4,3,124,139,89.20863309352518,12.75
JP Faulkner,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",2014,Death,23,8,389,247,157.48987854251013,10.0
JP Faulkner,Rajasthan Royals,Kings XI Punjab,Maharashtra Cricket Association Stadium,2015,Death,30,13,389,247,157.48987854251013,16.25
JP Faulkner,Rajasthan Royals,Kings XI Punjab,Maharashtra Cricket Association Stadium,2015,Middle,16,24,124,139,89.20863309352518,16.25
JP Faulkner,Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2014,Death,33,12,389,247,157.48987854251013,35.0
JP Faulkner,Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2014,Middle,2,1,124,139,89.20863309352518,35.0
JP Faulkner,Rajasthan Royals,Kings XI Punjab,"Sardar Patel Stadium, Motera",2015,Death,1,4,389,247,157.48987854251013,10.0
JP Faulkner,Rajasthan Royals,Kings XI Punjab,"Sardar Patel Stadium, Motera",2015,Powerplay,0,1,14,20,70.0,10.0
JP Faulkner,Rajasthan Royals,Kings XI Punjab,Sharjah Cricket Stadium,2014,Death,8,7,389,247,157.48987854251013,8.0
JP Faulkner,Rajasthan Royals,Kolkata Knight Riders,Brabourne Stadium,2015,Middle,6,6,124,139,89.20863309352518,14.666666666666666
JP Faulkner,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,2013,Powerplay,1,4,14,20,70.0,2.5
JP Faulkner,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",2014,Death,1,1,389,247,157.48987854251013,10.0
JP Faulkner,Rajasthan Royals,Kolkata Knight Riders,Sheikh Zayed Stadium,2014,Death,2,1,389,247,157.48987854251013,5.0
JP Faulkner,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",2014,Death,21,10,389,247,157.48987854251013,10.0
JP Faulkner,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",2014,Middle,10,12,124,139,89.20863309352518,10.0
JP Faulkner,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",2015,Death,5,4,389,247,157.48987854251013,10.0
JP Faulkner,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",2015,Middle,1,2,124,139,89.20863309352518,10.0
JP Faulkner,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,2013,Powerplay,12,13,14,20,70.0,14.0
JP Faulkner,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,2014,Death,22,13,389,247,157.48987854251013,14.0
JP Faulkner,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,2014,Middle,1,1,124,139,89.20863309352518,14.0
JP Faulkner,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,2013,Death,3,2,389,247,157.48987854251013,4.0
JP Faulkner,Rajasthan Royals,Pune Warriors,Subrata Roy Sahara Stadium,2013,Death,19,13,389,247,157.48987854251013,11.0
JP Faulkner,Rajasthan Royals,Pune Warriors,Subrata Roy Sahara Stadium,2013,Middle,0,1,124,139,89.20863309352518,11.0
JP Faulkner,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,2013,Death,0,3,389,247,157.48987854251013,22.0
JP Faulkner,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,2013,Middle,3,4,124,139,89.20863309352518,22.0
JP Faulkner,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,2014,Death,38,13,389,247,157.48987854251013,22.0
JP Faulkner,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,2014,Middle,3,6,124,139,89.20863309352518,22.0
JP Faulkner,Rajasthan Royals,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,2015,Middle,4,5,124,139,89.20863309352518,16.25
JP Faulkner,Rajasthan Royals,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",2015,Death,4,5,389,247,157.48987854251013,10.0
JP Faulkner,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,2013,Death,1,1,389,247,157.48987854251013,4.0
JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,Brabourne Stadium,2015,Death,1,3,389,247,157.48987854251013,14.666666666666666
JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,Brabourne Stadium,2015,Middle,29,16,124,139,89.20863309352518,14.666666666666666
JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015,Death,6,5,389,247,157.48987854251013,6.0
JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,2013,Death,11,10,389,247,157.48987854251013,12.75
JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,2013,Middle,0,1,124,139,89.20863309352518,12.75
JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013,Death,6,2,389,247,157.48987854251013,6.0
JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013,Middle,0,1,124,139,89.20863309352518,6.0
JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",2014,Death,3,5,389,247,157.48987854251013,10.0
JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",2014,Middle,1,1,124,139,89.20863309352518,10.0
JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,Sheikh Zayed Stadium,2014,Death,8,2,389,247,157.48987854251013,5.0
JPR Scantlebury-Searles,Kolkata Knight Riders,Kings XI Punjab,Holkar Cricket Stadium,2018,Death,6,1,8,6,133.33333333333331,6.0
JPR Scantlebury-Searles,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,2018,Death,2,5,8,6,133.33333333333331,2.0
JR Hazlewood,Royal Challengers Bangalore,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",2022,Death,7,8,16,18,88.88888888888889,7.0
JR Hazlewood,Royal Challengers Bangalore,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Death,1,2,16,18,88.88888888888889,1.0
JR Hazlewood,Royal Challengers Bangalore,Punjab Kings,"Brabourne Stadium, Mumbai",2022,Death,7,4,16,18,88.88888888888889,5.0
JR Hazlewood,Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",2022,Death,0,2,16,18,88.88888888888889,0.0
JR Hazlewood,Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",2022,Death,1,2,16,18,88.88888888888889,1.0
JR Hazlewood,Royal Challengers Bangalore,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",2022,Middle,3,11,3,11,27.27272727272727,5.0
JR Hopes,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,Death,5,4,53,38,139.4736842105263,11.0
JR Hopes,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,Middle,3,2,175,121,144.62809917355372,11.0
JR Hopes,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,2011,Death,8,9,53,38,139.4736842105263,25.0
JR Hopes,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,2011,Middle,9,5,175,121,144.62809917355372,25.0
JR Hopes,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2011,Death,17,10,53,38,139.4736842105263,17.0
JR Hopes,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,2011,Middle,7,7,175,121,144.62809917355372,7.0
JR Hopes,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,2011,Middle,20,19,175,121,144.62809917355372,25.0
JR Hopes,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,2011,Powerplay,5,12,189,155,121.93548387096773,25.0
JR Hopes,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,2011,Death,0,1,53,38,139.4736842105263,19.0
JR Hopes,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,2011,Middle,36,27,175,121,144.62809917355372,19.0
JR Hopes,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,2011,Powerplay,19,17,189,155,121.93548387096773,19.0
JR Hopes,Delhi Daredevils,Pune Warriors,Dr DY Patil Sports Academy,2011,Death,13,4,53,38,139.4736842105263,13.0
JR Hopes,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2011,Death,10,10,53,38,139.4736842105263,25.0
JR Hopes,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2011,Middle,35,25,175,121,144.62809917355372,25.0
JR Hopes,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2011,Powerplay,9,10,189,155,121.93548387096773,25.0
JR Hopes,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007/08,Powerplay,14,7,189,155,121.93548387096773,11.0
JR Hopes,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007/08,Middle,31,13,175,121,144.62809917355372,41.75
JR Hopes,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007/08,Powerplay,40,21,189,155,121.93548387096773,41.75
JR Hopes,Kings XI Punjab,Chennai Super Kings,Wankhede Stadium,2007/08,Powerplay,2,5,189,155,121.93548387096773,19.0
JR Hopes,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,2007/08,Powerplay,4,7,189,155,121.93548387096773,25.0
JR Hopes,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,2007/08,Powerplay,13,11,189,155,121.93548387096773,13.0
JR Hopes,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2007/08,Powerplay,18,12,189,155,121.93548387096773,41.75
JR Hopes,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,2007/08,Powerplay,0,1,189,155,121.93548387096773,19.0
JR Hopes,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",2007/08,Middle,30,18,175,121,144.62809917355372,41.75
JR Hopes,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",2007/08,Powerplay,21,17,189,155,121.93548387096773,41.75
JR Hopes,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007/08,Middle,4,5,175,121,144.62809917355372,16.0
JR Hopes,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007/08,Powerplay,12,11,189,155,121.93548387096773,16.0
JR Hopes,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007/08,Powerplay,5,5,189,155,121.93548387096773,5.0
JR Hopes,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",2007/08,Powerplay,27,19,189,155,121.93548387096773,41.75
JR Philippe,Royal Challengers Bangalore,Delhi Capitals,Sheikh Zayed Stadium,2020/21,Powerplay,12,18,61,63,96.82539682539682,22.5
JR Philippe,Royal Challengers Bangalore,Kings XI Punjab,Dubai International Cricket Stadium,2020/21,Powerplay,0,3,61,63,96.82539682539682,0.5
JR Philippe,Royal Challengers Bangalore,Mumbai Indians,Sheikh Zayed Stadium,2020/21,Middle,4,2,16,15,106.66666666666667,22.5
JR Philippe,Royal Challengers Bangalore,Mumbai Indians,Sheikh Zayed Stadium,2020/21,Powerplay,29,22,61,63,96.82539682539682,22.5
JR Philippe,Royal Challengers Bangalore,Sunrisers Hyderabad,Dubai International Cricket Stadium,2020/21,Death,1,2,1,2,50.0,0.5
JR Philippe,Royal Challengers Bangalore,Sunrisers Hyderabad,Sharjah Cricket Stadium,2020/21,Middle,12,13,16,15,106.66666666666667,32.0
JR Philippe,Royal Challengers Bangalore,Sunrisers Hyderabad,Sharjah Cricket Stadium,2020/21,Powerplay,20,20,61,63,96.82539682539682,32.0
Jaskaran Singh,Deccan Chargers,Kings XI Punjab,Barabati Stadium,2009/10,Death,3,3,7,9,77.77777777777779,3.0
Jaskaran Singh,Deccan Chargers,Kolkata Knight Riders,Dr DY Patil Sports Academy,2009/10,Death,4,4,7,9,77.77777777777779,2.5
Jaskaran Singh,Deccan Chargers,Mumbai Indians,Brabourne Stadium,2009/10,Death,0,2,7,9,77.77777777777779,0.0
Jaskaran Singh,Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,2009/10,Middle,1,2,1,2,50.0,2.5
Joginder Sharma,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2007/08,Death,10,6,29,23,126.08695652173914,16.0
Joginder Sharma,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2007/08,Middle,6,4,7,7,100.0,16.0
Joginder Sharma,Chennai Super Kings,Delhi Daredevils,Kingsmead,2009,Death,4,3,29,23,126.08695652173914,4.0
Joginder Sharma,Chennai Super Kings,Mumbai Indians,Newlands,2009,Death,15,13,29,23,126.08695652173914,16.0
Joginder Sharma,Chennai Super Kings,Mumbai Indians,Newlands,2009,Middle,1,2,7,7,100.0,16.0
Joginder Sharma,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,2011,Death,0,1,29,23,126.08695652173914,0.0
Joginder Sharma,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,2007/08,Middle,0,1,7,7,100.0,0.0
K Goel,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007/08,Powerplay,1,7,164,173,94.79768786127167,1.0
K Goel,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2007/08,Powerplay,24,20,164,173,94.79768786127167,13.2
K Goel,Kings XI Punjab,Chennai Super Kings,SuperSport Park,2009,Powerplay,14,21,164,173,94.79768786127167,17.0
K Goel,Kings XI Punjab,Delhi Daredevils,Newlands,2009,Powerplay,38,22,164,173,94.79768786127167,38.0
K Goel,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",2007/08,Powerplay,1,3,164,173,94.79768786127167,13.2
K Goel,Kings XI Punjab,Kolkata Knight Riders,Kingsmead,2009,Powerplay,0,7,164,173,94.79768786127167,10.4
K Goel,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2007/08,Middle,6,7,30,41,73.17073170731707,13.2
K Goel,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2009/10,Death,14,12,24,25,96.0,13.2
K Goel,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2009/10,Middle,3,5,30,41,73.17073170731707,13.2
K Goel,Kings XI Punjab,Mumbai Indians,Brabourne Stadium,2009/10,Death,1,3,24,25,96.0,1.0
K Goel,Kings XI Punjab,Mumbai Indians,Kingsmead,2009,Powerplay,12,12,164,173,94.79768786127167,10.4
K Goel,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",2007/08,Middle,6,4,30,41,73.17073170731707,13.2
K Goel,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",2007/08,Powerplay,12,17,164,173,94.79768786127167,13.2
K Goel,Kings XI Punjab,Mumbai Indians,SuperSport Park,2009,Death,9,10,24,25,96.0,17.0
K Goel,Kings XI Punjab,Mumbai Indians,SuperSport Park,2009,Middle,11,14,30,41,73.17073170731707,17.0
K Goel,Kings XI Punjab,Rajasthan Royals,Kingsmead,2009,Powerplay,1,4,164,173,94.79768786127167,10.4
K Goel,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007/08,Powerplay,26,21,164,173,94.79768786127167,26.0
K Goel,Kings XI Punjab,Royal Challengers Bangalore,Kingsmead,2009,Middle,4,11,30,41,73.17073170731707,10.4
K Goel,Kings XI Punjab,Royal Challengers Bangalore,Kingsmead,2009,Powerplay,35,39,164,173,94.79768786127167,10.4
K Gowtham,Kings XI Punjab,Delhi Capitals,Dubai International Cricket Stadium,2020/21,Middle,20,14,87,62,140.3225806451613,20.0
K Gowtham,Kings XI Punjab,Mumbai Indians,Sheikh Zayed Stadium,2020/21,Death,22,13,152,89,170.78651685393257,22.0
K Gowtham,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Death,1,3,152,89,170.78651685393257,7.75
K Gowtham,Lucknow Super Giants,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Death,17,18,152,89,170.78651685393257,9.5
K Gowtham,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Death,6,1,152,89,170.78651685393257,7.75
K Gowtham,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",2023,Death,11,4,152,89,170.78651685393257,11.0
K Gowtham,Lucknow Super Giants,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Middle,2,3,87,62,140.3225806451613,9.5
K Gowtham,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Death,1,2,152,89,170.78651685393257,7.75
K Gowtham,Lucknow Super Giants,Rajasthan Royals,"Wankhede Stadium, Mumbai",2022,Powerplay,0,2,8,8,100.0,0.0
K Gowtham,Lucknow Super Giants,Royal Challengers Bangalore,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Middle,23,13,87,62,140.3225806451613,7.75
K Gowtham,Rajasthan Royals,Chennai Super Kings,MA Chidambaram Stadium,2019,Death,0,1,152,89,170.78651685393257,9.0
K Gowtham,Rajasthan Royals,Chennai Super Kings,MA Chidambaram Stadium,2019,Middle,9,7,87,62,140.3225806451613,9.0
K Gowtham,Rajasthan Royals,Chennai Super Kings,Maharashtra Cricket Association Stadium,2018,Middle,1,2,87,62,140.3225806451613,1.0
K Gowtham,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,2018,Death,13,5,152,89,170.78651685393257,11.625
K Gowtham,Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,2019,Middle,6,6,87,62,140.3225806451613,12.0
K Gowtham,Rajasthan Royals,Delhi Daredevils,Arun Jaitley Stadium,2018,Middle,18,6,87,62,140.3225806451613,12.0
K Gowtham,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,2018,Death,2,2,152,89,170.78651685393257,11.625
K Gowtham,Rajasthan Royals,Kings XI Punjab,Holkar Cricket Stadium,2018,Middle,5,4,87,62,140.3225806451613,5.0
K Gowtham,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,2018,Powerplay,8,6,8,8,100.0,11.625
K Gowtham,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,2019,Death,3,4,152,89,170.78651685393257,11.625
K Gowtham,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,2018,Death,9,7,152,89,170.78651685393257,6.0
K Gowtham,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,2018,Middle,3,5,87,62,140.3225806451613,6.0
K Gowtham,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,2018,Death,12,7,152,89,170.78651685393257,11.625
K Gowtham,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,2018,Death,33,11,152,89,170.78651685393257,11.625
K Gowtham,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,2019,Death,0,1,152,89,170.78651685393257,0.0
K Gowtham,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,2018,Death,14,5,152,89,170.78651685393257,11.625
K Gowtham,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,2018,Middle,0,2,87,62,140.3225806451613,0.0
K Gowtham,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,2018,Death,8,5,152,89,170.78651685393257,11.625
K Kartikeya,Mumbai Indians,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2023,Death,6,7,8,10,80.0,6.0
K Kartikeya,Mumbai Indians,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",2022,Death,2,3,8,10,80.0,3.0
K Kartikeya,Mumbai Indians,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",2022,Middle,1,3,1,3,33.33333333333333,3.0
K Rabada,Delhi Capitals,Chennai Super Kings,Dubai International Cricket Stadium,2021,Death,4,1,145,118,122.88135593220339,8.5
K Rabada,Delhi Capitals,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,2019,Death,0,1,145,118,122.88135593220339,0.0
K Rabada,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,2021,Death,0,1,145,118,122.88135593220339,1.0
K Rabada,Delhi Capitals,Kolkata Knight Riders,Sheikh Zayed Stadium,2020/21,Death,8,9,145,118,122.88135593220339,12.0
K Rabada,Delhi Capitals,Kolkata Knight Riders,Sheikh Zayed Stadium,2020/21,Middle,1,1,58,83,69.87951807228916,12.0
K Rabada,Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,2019,Death,9,8,145,118,122.88135593220339,6.0
K Rabada,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,2020/21,Death,27,22,145,118,122.88135593220339,8.5
K Rabada,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,2020/21,Middle,0,3,58,83,69.87951807228916,8.5
K Rabada,Delhi Capitals,Rajasthan Royals,Sharjah Cricket Stadium,2020/21,Death,2,3,145,118,122.88135593220339,1.0
K Rabada,Delhi Capitals,Rajasthan Royals,"Wankhede Stadium, Mumbai",2021,Death,9,4,145,118,122.88135593220339,17.0
K Rabada,Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,2019,Death,3,4,145,118,122.88135593220339,6.0
K Rabada,Delhi Capitals,Sunrisers Hyderabad,Dubai International Cricket Stadium,2020/21,Middle,3,7,58,83,69.87951807228916,8.5
K Rabada,Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,2019,Death,2,2,145,118,122.88135593220339,2.0
K Rabada,Delhi Capitals,Sunrisers Hyderabad,Sheikh Zayed Stadium,2020/21,Death,15,7,145,118,122.88135593220339,12.0
K Rabada,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,Middle,11,21,58,83,69.87951807228916,11.0
K Rabada,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2017,Middle,0,5,58,83,69.87951807228916,0.0
K Rabada,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,2017,Death,4,7,145,118,122.88135593220339,44.0
K Rabada,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,2017,Middle,37,29,58,83,69.87951807228916,44.0
K Rabada,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,2017,Powerplay,3,6,3,6,50.0,44.0
K Rabada,Punjab Kings,Chennai Super Kings,"Brabourne Stadium, Mumbai",2022,Death,11,12,145,118,122.88135593220339,3.75
K Rabada,Punjab Kings,Chennai Super Kings,"Brabourne Stadium, Mumbai",2022,Middle,1,2,58,83,69.87951807228916,3.75
K Rabada,Punjab Kings,Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2024,Death,11,12,145,118,122.88135593220339,11.0
K Rabada,Punjab Kings,Delhi Capitals,"Brabourne Stadium, Mumbai",2022,Middle,2,6,58,83,69.87951807228916,3.75
K Rabada,Punjab Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022,Death,6,4,145,118,122.88135593220339,6.0
K Rabada,Punjab Kings,Gujarat Titans,"Brabourne Stadium, Mumbai",2022,Middle,1,1,58,83,69.87951807228916,3.75
K Rabada,Punjab Kings,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024,Death,1,1,145,118,122.88135593220339,4.5
K Rabada,Punjab Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",2022,Death,24,9,145,118,122.88135593220339,17.0
K Rabada,Punjab Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",2022,Middle,1,7,58,83,69.87951807228916,17.0
K Rabada,Punjab Kings,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,Death,0,1,145,118,122.88135593220339,0.0
K Rabada,Punjab Kings,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",2022,Death,1,4,145,118,122.88135593220339,2.0
K Rabada,Punjab Kings,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",2022,Middle,1,1,58,83,69.87951807228916,2.0
K Rabada,Punjab Kings,Lucknow Super Giants,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,Death,0,1,145,118,122.88135593220339,0.0
K Rabada,Punjab Kings,Mumbai Indians,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024,Death,8,4,145,118,122.88135593220339,4.5
K Rabada,Punjab Kings,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",2022,Death,0,1,145,118,122.88135593220339,3.75
K Upadhyay,Pune Warriors,Kolkata Knight Riders,Subrata Roy Sahara Stadium,2013,Death,1,1,12,9,133.33333333333331,6.0
